horizon_hour,week,weekday,hour,demand
990,6,6,6,10.935
991,6,6,7,10.755
992,6,6,8,11.745
993,6,6,9,12.8475
994,6,6,10,14.58
995,6,6,11,15.255
996,6,6,12,15.93
997,6,6,13,16.11
998,6,6,14,16.2225
999,6,6,15,15.525
1000,6,6,16,15.84
1001,6,6,17,15.255
1002,6,6,18,15.42375
1003,6,6,19,15.94125
1004,6,6,20,16.6275
1005,6,6,21,18.43875
1006,6,6,22,18.2475
1007,6,6,23,16.43625
1008,7,0,0,14.67
1009,7,0,1,13.0725
1010,7,0,2,12.09375
1011,7,0,3,11.34
1012,7,0,4,11.1375
1013,7,0,5,11.9475
1014,7,0,6,12.735
1015,7,0,7,14.07375
1016,7,0,8,16.54875
1017,7,0,9,18.6075
1018,7,0,10,19.1925
1019,7,0,11,20.0475
1020,7,0,12,19.98
1021,7,0,13,19.89
1022,7,0,14,19.53
1023,7,0,15,19.305
1024,7,0,16,18.99
1025,7,0,17,18.95625
1026,7,0,18,19.20375
1027,7,0,19,19.305
1028,7,0,20,19.98
1029,7,0,21,20.97
1030,7,0,22,19.35
1031,7,0,23,17.65125
1032,7,1,0,15.57
1033,7,1,1,14.4
1034,7,1,2,13.05
1035,7,1,3,12.51
1036,7,1,4,12.33
1037,7,1,5,12.375
1038,7,1,6,13.5
1039,7,1,7,15.075
1040,7,1,8,17.2575
1041,7,1,9,19.305
1042,7,1,10,20.43
1043,7,1,11,21.1725
1044,7,1,12,21.38625
1045,7,1,13,21.2625
1046,7,1,14,20.5875
1047,7,1,15,20.3625
1048,7,1,16,20.03625
1049,7,1,17,19.9575
1050,7,1,18,19.60875
1051,7,1,19,18.675
1052,7,1,20,18.585
1053,7,1,21,19.53
1054,7,1,22,19.98
1055,7,1,23,17.58375
1056,7,2,0,15.5925
1057,7,2,1,14.1525
1058,7,2,2,13.1625
1059,7,2,3,12.7125
1060,7,2,4,12.42
1061,7,2,5,12.15
1062,7,2,6,13.64625
1063,7,2,7,15.06375
1064,7,2,8,17.235
1065,7,2,9,18.8055
1066,7,2,10,19.5975
1067,7,2,11,19.67625
1068,7,2,12,20.07
1069,7,2,13,19.9575
1070,7,2,14,19.755
1071,7,2,15,19.755
1072,7,2,16,19.4175
1073,7,2,17,19.0575
1074,7,2,18,18.765
1075,7,2,19,18.315
1076,7,2,20,18.2025
1077,7,2,21,20.385
1078,7,2,22,19.65375
1079,7,2,23,17.505
1080,7,3,0,15.6825
1081,7,3,1,14.31
1082,7,3,2,13.3875
1083,7,3,3,13.21875
1084,7,3,4,13.08375
1085,7,3,5,12.69
1086,7,3,6,14.14125
1087,7,3,7,15.71625
1088,7,3,8,17.3475
1089,7,3,9,18.4725
1090,7,3,10,19.7775
1091,7,3,11,20.0475
1092,7,3,12,20.205
1093,7,3,13,19.85625
1094,7,3,14,19.81125
